Change Component Footprint: Designator=IC? Old Footprint=DIP8 New Footprint=SO8
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component C? 33p/50V
Added Member To Class: ClassName=BUOI13 Member=Component D? 2V4/20mA
Added Member To Class: ClassName=BUOI13 Member=Component D? 2V4/20mA
Added Member To Class: ClassName=BUOI13 Member=Component J? HR911105A
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Member To Class: ClassName=BUOI13 Member=Component R? 13K
Added Room: Name=BUOI13
